"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"ACADEMIA MARCO","mailcentro":"info@academiamarco.com"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"ALAON","mailcentro":"centroalaun@alaun.es"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"ANDALAN","mailcentro":"iesandzaragoza@educa.aragon.es"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"BAJO ARAGON","mailcentro":"cpifpbajoaragon@educa.aragon.es"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"BAJO CINCA","mailcentro":"iesbcfraga@educa.aragon.es"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"BENJAMIN JARNES","mailcentro":"iesfuentes@educa.aragon.es"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"BIELLO ARAGON","mailcentro":"iesbasabinanigo@educa.aragon.es"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"CABAÑAS","mailcentro":"iesalmunia@educa.aragon.es"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"CEFOR IZQUIERDO","mailcentro":"ciclos@izquierdofp.es"-n-"grado":"GMedio"
"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"CINCO VILLAS","mailcentro":"iescvejea@educa.aragon.es"-n-"grado":"GMedio"
