CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Domicilio;coordenadas;Cód. Postal;Provincia;Municipio;Enseñanza (agrupada);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;20 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;16 Años;4
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;17 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;18 Años;4
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;19 Años;4
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;20 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;21 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Mujer;17 Años;3
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Mujer;18 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Mujer;19 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Mujer;20 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;;50018;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Mujer;21 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;C/ BARRIO VERDE, 8;;50002;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;C/ BARRIO VERDE, 8;;50002;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;C/ BARRIO VERDE, 8;;50002;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;C/ BARRIO VERDE, 8;;50002;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;3
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;C/ BARRIO VERDE, 8;;50002;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;C/ BARRIO VERDE, 8;;50002;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;C/ BARRIO VERDE, 8;;50002;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;21 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;5
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;4
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;3
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;1
