CE;Cód. RCD Centro;Enseñanza (agrupada);Enseñanza (estatal);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2017/2018;22000251;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;6
2017/2018;22000251;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;7
2017/2018;22000251;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;1
2017/2018;22000251;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;3
2017/2018;22000251;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;3
2017/2018;22000299;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;11
2017/2018;22000299;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;12
2017/2018;22000299;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;13
2017/2018;22000299;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;11
2017/2018;22000299;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;10
2017/2018;22000299;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;11
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;8
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;7 Años;1
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;12
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;9
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;12
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;8
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;9 Años;3
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;11
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;10
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;13
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;12
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;11 Años;2
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;4
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;12
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;2
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;3
2017/2018;22000299;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;1
2017/2018;22000585;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;9
2017/2018;22000585;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;8
2017/2018;22000585;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;5
2017/2018;22000585;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;8
2017/2018;22000585;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;7
2017/2018;22000585;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;5
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;6
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;10
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;7 Años;1
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;10
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;11
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;10
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;8
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;5
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;8
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;6
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;14
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;12
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;1
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;6
2017/2018;22000585;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;1
2017/2018;22000585;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;11 Años;6
